의류수거함,위치,위도,경도
대학동-20,서울특별시 관악구 신림로23길 82,37.4673538479,126.9341529381
대학동-21,서울특별시 관악구 신림로3가길 19,37.4686285364,126.9438042785
대학동-22,서울특별시 관악구 신림로3가길 2,37.4687189722,126.9445126479
대학동-23,서울특별시 관악구 신림로3가길 32,37.4689705753,126.9428964014
대학동-24,서울특별시 관악구 신림로3가길 32,37.4689705753,126.9428964014
대학동-25,서울특별시 관악구 신림로3가길 40-24,37.4690913049,126.9426982582
대학동-26,서울특별시 관악구 신림로3가길 45,37.4687803714,126.9419705014
대학동-27,서울특별시 관악구 신림로3가길 46-17,37.4697316713,126.9419966705
대학동-28,서울특별시 관악구 신림로3가길 46-8,37.4692194460,126.9421789529
대학동-29,서울특별시 관악구 신림로3가길 63,37.4687276095,126.9411352713
대학동-30,서울특별시 관악구 신림로7가길 34 앞,37.4696207044,126.9428132718
대학동-31,서울특별시 관악구 신림로7가길 34 옆,37.4696207044,126.9428132718
대학동-32,서울특별시 관악구 신림로7길 15,37.4698527357,126.9415670091
대학동-34,서울특별시 관악구 신림로7길 33,37.4691007725,126.9417907414
대학동-35,서울특별시 관악구 신림로7나길 27,37.4696176053,126.9400153266
대학동-36,서울특별시 관악구 호암로20길 13,37.4677194096,126.9327513618
대학동-37,서울특별시 관악구 호암로20길 25,37.4676342151,126.9334606563
대학동-38,서울특별시 관악구 호암로20길 33,37.4675663178,126.9338509330
대학동-39,서울특별시 관악구 호암로20길 7,37.4677583398,126.9324469075
대학동-40,서울특별시 관악구 호암로22가길 6,37.4686929543,126.9333920055
대학동-41,서울특별시 관악구 호암로22길 15,37.4690535605,126.9335906411
대학동-42,서울특별시 관악구 호암로22길 5,37.4691443156,126.9331526319
대학동-43,서울특별시 관악구 호암로24가길 55,37.4672650813,126.9337998782
대학동-44,서울특별시 관악구 호암로24가길 77,37.4665840575,126.9338901188
대학동-45,서울특별시 관악구 호암로26가길 11,37.4702102624,126.9340456402
대학동-46,서울특별시 관악구 호암로26가길 53,37.4685016781,126.9330878658
미성동-1,서울특별시 관악구 난곡로34나길 18,37.4725610175,126.9215437173
미성동-2,서울특별시 관악구 난곡로40길 6,37.4752120979,126.9172423611
미성동-3,서울특별시 관악구 난곡로41길 28,37.4755186091,126.9148161385
미성동-4,서울특별시 관악구 난곡로41길 7,37.4753730873,126.9160629333
미성동-5,서울특별시 관악구 난곡로43길 8,37.4760053118,126.9155376583
미성동-6,서울특별시 관악구 난곡로45길 13,37.4762631754,126.9149023448
미성동-7,서울특별시 관악구 난곡로47길 23,37.4765885799,126.9143480098
미성동-8,서울특별시 관악구 난곡로48길 13,37.4770192701,126.9164986148
미성동-9,서울특별시 관악구 난곡로49길 23,37.4770378787,126.9140521974
미성동-10,서울특별시 관악구 난곡로51길 13,37.4780008713,126.9144161538
미성동-11,서울특별시 관악구 난곡로53길 14,37.4786683004,126.9143630470
미성동-12,서울특별시 관악구 난곡로57길 17,37.4795360441,126.9138423257
미성동-13,서울특별시 관악구 난곡로59길 23,37.4798212389,126.9130162141
미성동-14,서울특별시 관악구 난곡로61길 40,37.4803003262,126.9119497301
미성동-15,서울특별시 관악구 난곡로61길 6,37.4806494759,126.9137943534
미성동-16,서울특별시 관악구 난곡로63가길 21,37.4801464670,126.9143233721
미성동-17,서울특별시 관악구 난곡로63길 51,37.4804681985,126.9117273699
미성동-18,서울특별시 관악구 난곡로63길 65,37.4804104203,126.9110952061
미성동-19,서울특별시 관악구 난곡로63길 67-3,37.4802648458,126.9108937928
미성동-20,서울특별시 관악구 난곡로64가길 28,37.4800290246,126.9153918052
미성동-21,서울특별시 관악구 난곡로64가길 4,37.4810806126,126.9151692460
미성동-22,서울특별시 관악구 난곡로64길 55,37.4818592559,126.9178347126
미성동-23,서울특별시 관악구 난우10길 18,37.4760634509,126.9186537999
미성동-24,서울특별시 관악구 난우10길 18,37.4760634509,126.9186537999
미성동-25,서울특별시 관악구 난우10길 32,37.4759186267,126.9193960387
미성동-26,서울특별시 관악구 난우16길 36,37.4776813006,126.9186496721
미성동-27,서울특별시 관악구 난우16길 63-14,37.4779526699,126.9202138518
미성동-28,서울특별시 관악구 난우길 34-16,37.4759851806,126.9183018364
미성동-29,서울특별시 관악구 난우길 45,37.4766384174,126.9170158101
미성동-30,서울특별시 관악구 남부순환로142길 70,37.4783339326,126.9128795564
미성동-31,서울특별시 관악구 남부순환로142길 70,37.4783339326,126.9128795564
미성동-32,서울특별시 관악구 남부순환로142길 70,37.4783339326,126.9128795564
미성동-33,서울특별시 관악구 남부순환로142길 70,37.4783339326,126.9128795564
미성동-34,서울특별시 관악구 남부순환로152가길 34,37.4818369442,126.9168520003
미성동-35,서울특별시 관악구 남부순환로152길 23,37.4816580717,126.9192885702
미성동-36,서울특별시 관악구 남부순환로152길 60,37.4811698667,126.9188378681
미성동-37,서울특별시 관악구 남부순환로154길 36,37.4810363313,126.9198854097
미성동-38,서울특별시 관악구 남부순환로154길 46,37.4809539064,126.9195133013
미성동-39,서울특별시 관악구 문성로16길 13,37.4768628210,126.9136929970
미성동-40,서울특별시 관악구 문성로16길 45,37.4754751765,126.9132012311
미성동-41,서울특별시 관악구 문성로16길 45,37.4754751765,126.9132012311
미성동-42,서울특별시 관악구 문성로16나길 21,37.4751149319,126.9135413692
미성동-43,서울특별시 관악구 문성로16다길 76,37.4714558401,126.9095684926
미성동-44,서울특별시 관악구 문성로16다길 76,37.4714558401,126.9095684926
미성동-45,서울특별시 관악구 미성3길 38,37.4731271546,126.9174906548
미성동-46,서울특별시 관악구 미성3길 40,37.4730006849,126.9175365786
미성동-47,서울특별시 관악구 미성5길 18,37.4738529330,126.9154721373
미성동-48,서울특별시 관악구 미성5길 18,37.4738529330,126.9154721373
미성동-49,서울특별시 관악구 미성5길 20-9,37.4739931003,126.9150536930
미성동-50,서울특별시 관악구 미성5길 30,37.4736025391,126.9149652779
미성동-51,서울특별시 관악구 미성8길 28,37.4739422547,126.9125442597
미성동-52,서울특별시 관악구 미성8길 3-20,37.4736753513,126.9127551826
미성동-53,서울특별시 관악구 미성8길 3-20,37.4736753513,126.9127551826
미성동-54,서울특별시 관악구 미성길 122 정문,37.47220851,126.9114196
미성동-55,서울특별시 관악구 미성길 34,37.4750200819,126.9155713260
미성동-56,서울특별시 관악구 미성길 34,37.4750200819,126.9155713260
미성동-57,서울특별시 관악구 미성길 48,37.4747512734,126.9145169706
미성동-58,서울특별시 관악구 미성길 50,37.4747390454,126.9144280130
미성동-59,서울특별시 관악구 미성길 64,37.4744378111,126.9135249654
미성동-60,서울특별시 관악구 미성길 64,37.4744378111,126.9135249654
미성동-61,서울특별시 관악구 법원단지3길 24,37.4752907395,126.9189078747
미성동-62,서울특별시 관악구 법원단지3길 34,37.4756657640,126.9193382011
미성동-63,서울특별시 관악구 법원단지5가길 10,37.4747648944,126.9200747957
미성동-64,서울특별시 관악구 법원단지5가길 28,37.4752147696,126.9208795877
미성동-65,서울특별시 관악구 법원단지5길 17,37.4750233175,126.9190359123
미성동-66,서울특별시 관악구 법원단지5길 64,37.4762073278,126.9208886031
미성동-67,서울특별시 관악구 법원단지5길 69,37.4765078426,126.9209305686
미성동-68,서울특별시 관악구 법원단지5나길 45,37.4761946737,126.9212333172
미성동-69,서울특별시 관악구 법원단지5나길 66,37.4765172811,126.9223921234
미성동-70,서울특별시 관악구 법원단지5나길 7,37.4752800907,126.9195421097
미성동-71,서울특별시 관악구 법원단지5다길 26,37.4776983780,126.9208433917
미성동-72,서울특별시 관악구 법원단지5라길 26,37.4779715208,126.9213181666
미성동-73,서울특별시 관악구 법원단지5라길 26,37.4779715208,126.9213181666
미성동-74,서울특별시 관악구 법원단지5라길 31,37.4781048937,126.9209485578
삼성동-1,서울특별시 관악구 동마길 10,37.4647077168,126.9303098729
삼성동-2,서울특별시 관악구 성림길 7,37.4657864833,126.9307453114
삼성동-3,서울특별시 관악구 신림로29길 3-13,37.4745308089,126.9342474839
삼성동-4,서울특별시 관악구 신우길 3 옆,37.4619321421,126.9326255407
삼성동-5,서울특별시 관악구 약수암길 11,37.4609807401,126.9324263298
삼성동-6,서울특별시 관악구 약수암길 13-1,37.4608967688,126.9325893956
삼성동-7,서울특별시 관악구 약수암길 23,37.4602360716,126.9329323557
삼성동-8,서울특별시 관악구 양산길 11,37.4741324529,126.9327717310
삼성동-9,서울특별시 관악구 양산길 33,37.4729051752,126.9322774505
삼성동-10,서울특별시 관악구 양지10길 15-1,37.4704719023,126.9280024715
삼성동-11,서울특별시 관악구 양지10길 2-1,37.4705453300,126.9288875450
삼성동-12,서울특별시 관악구 양지12길 8,37.4691815372,126.9288490457
삼성동-13,서울특별시 관악구 양지길 41,37.4711464203,126.9299878186
삼성동-14,서울특별시 관악구 양지길 49,37.4707693320,126.9293562457
삼성동-15,서울특별시 관악구 양지길 58,37.4704526782,126.9289910690
삼성동-16,서울특별시 관악구 양지길 76,37.4693891775,126.9293786837
삼성동-17,서울특별시 관악구 양지길 94,37.4692854580,126.9308802225
삼성동-18,서울특별시 관악구 원신길 233 앞,37.4630099666,126.9308136581
삼성동-19,서울특별시 관악구 태흥길 7,37.4662038111,126.9305567171
삼성동-20,서울특별시 관악구 호암로16길 36,37.4641187527,126.9334836661
삼성동-21,서울특별시 관악구 호암로16길 45,37.4644659858,126.9331347553
삼성동-22,서울특별시 관악구 호암로18길 33,37.4656493630,126.9334342690
삼성동-23,서울특별시 관악구 호암로18나길 16,37.4648596509,126.9326819190
삼성동-24,서울특별시 관악구 호암로18나길 28 앞,37.4643693490,126.9327318683
삼성동-25,서울특별시 관악구 호암로18나길 5,37.4652873034,126.9328975498
서림동-1,서울특별시 관악구 복은10길 23,37.4743651935,126.9419695753
서림동-2,서울특별시 관악구 복은2길 30,37.4733987415,126.9374970664
서림동-3,서울특별시 관악구 복은4길 5,37.4741396822,126.9379149628
서림동-4,서울특별시 관악구 복은7길 42,37.4755697865,126.9420368148
서림동-5,서울특별시 관악구 복은길 12,37.4741249275,126.9364309597
서림동-6,서울특별시 관악구 복은길 22,37.4741284520,126.9371244091
서림동-7,서울특별시 관악구 복은길 30,37.4741822409,126.9376317356
서림동-8,서울특별시 관악구 복은길 58-27,37.4742814884,126.9389278941
서림동-9,서울특별시 관악구 복은길 59-14,37.4750590660,126.9396411848
서림동-10,서울특별시 관악구 복은길 76,37.4743040554,126.9402429965
서림동-11,서울특별시 관악구 복은길 79,37.4748517250,126.9403138961
서림동-12,서울특별시 관악구 복은길129-13,37.4755544357,126.9423363034
서림동-13,서울특별시 관악구 서림1길 4,37.4749056929,126.9382055505
서림동-14,서울특별시 관악구 서림3길 59,37.4720155602,126.9411011528
서림동-15,서울특별시 관악구 서림3길 60,37.4718688168,126.9408029363
서림동-16,서울특별시 관악구 서림3길 64,37.4716135395,126.9411214775
서림동-17,서울특별시 관악구 서림3길 69-5,37.4718437891,126.9415680593
