관리단체,의류수거함관리코드,행정동,도로명주소,위도,경도,데이터기준일
강북장애인단체총연합회,삼양-77,삼양동,서울특별시 강북구 삼양로64길 20-3,37.62767769,127.0195211,2025-03-24
강북장애인단체총연합회,인수-35,인수동,서울특별시 강북구 인수봉로55나길 9,37.6372043,127.0101166,2025-03-24
강북장애인단체총연합회,송중9-60,송중동,서울특별시 강북구 오패산로 188,37.61863549,127.0331535,2025-03-24
강북장애인단체총연합회,우이-57,우이동,서울특별시 강북구 인수봉로81길 11-22,37.64513458,127.0091843,2025-03-24
강북장애인단체총연합회,수유3-33,수유3동,서울특별시 강북구 노해로8가길 3,37.63818129,127.0235756,2025-03-24
강북장애인단체총연합회,송중8-23,송중동,서울특별시 강북구 오패산로 155-1,37.6157808,127.033349,2025-03-24
강북장애인단체총연합회,송천5-57,송천동,서울특별시 강북구 숭인로13길 33,37.61402447,127.0268474,2025-03-24
강북장애인단체총연합회,수유1-34,수유1동,서울특별시 강북구 인수봉로23길 54,37.6275534,127.0100178,2025-03-24
강북장애인단체총연합회,미아3-6,미아동,서울특별시 강북구 도봉로49길 66,37.62446078,127.0227579,2025-03-24
강북장애인단체총연합회,인수-54,인수동,서울특별시 강북구 삼양로111가길 8-3,37.6423535,127.0149434,2025-03-24
강북장애인단체총연합회,송중9-12,송중동,서울특별시 강북구 오현로9길 142,37.62297423,127.0326329,2025-03-24
강북장애인단체총연합회,번1-24,번1동,서울특별시 강북구 한천로 998,37.63783223,127.0304237,2025-03-24
강북장애인단체총연합회,미아3-63,미아동,서울특별시 강북구 오패산로52사길 43,37.62877973,127.0307791,2025-03-24
강북장애인단체총연합회,우이-24,우이동,서울특별시 강북구 삼양로159길 60-7,37.6590483,127.010473,2025-03-24
강북장애인단체총연합회,삼양-33,삼양동,서울특별시 강북구 인수봉로14길 4,37.62415334,127.0128723,2025-03-24
강북장애인단체총연합회,번2-18,번2동,서울특별시 강북구 오현로25다길 15,37.62759242,127.0365382,2025-03-24
강북장애인단체총연합회,송천5-24,미아동,서울특별시 강북구 오패산로52아길41-6,37.62800492,127.0296902,2025-03-24
강북장애인단체총연합회,수유3-8,수유3동,서울특별시 강북구 수유로17나길 7,37.63708477,127.0184686,2025-03-24
강북장애인단체총연합회,송중9-31,송중동,서울특별시 강북구 오현로7길 23,37.61763388,127.0318751,2025-03-24
강북장애인단체총연합회,삼양-57,삼양동,서울특별시 강북구 솔샘로 203,37.62030675,127.015132,2025-03-24
강북장애인단체총연합회,수유1-9,수유1동,서울특별시 강북구 삼양로 336-8,37.63351329,127.0180623,2025-03-24
강북장애인단체총연합회,삼양-4,삼양동,서울특별시 강북구 삼양로65길 18,37.62768439,127.017074,2025-03-24
강북장애인단체총연합회,미아3-30,미아동,서울특별시 강북구 도봉로63길 60,37.62858098,127.0208801,2025-03-24
강북장애인단체총연합회,인수-10,인수동,서울특별시 강북구 인수봉로73나길 2,37.64201451,127.0088857,2025-03-24
강북장애인단체총연합회,수유2-12,수유2동,서울특별시 강북구 삼양로122길 29-3,37.64506428,127.0169473,2025-03-24
강북장애인단체총연합회,번1-48,번1동,서울특별시 강북구 도봉로96가길 51,37.64180416,127.031324,2025-03-24
강북장애인단체총연합회,미아3-5,미아동,서울특별시 강북구 솔매로36길 9,37.62484387,127.0222318,2025-03-24
